index,set,topic,user_prompt,credit_hours,catalog_year,degree_major_concentration
1,generic_1,Academic Planning & Course Selection,Which courses should I prioritize for next semester to stay on track for graduation?,Up to 29,2023-2024,"BSCPE Computer Engineering, Machine Learning Concentration"
2,generic_1,Academic Planning & Course Selection,Are there any prerequisite chains I should be aware of that could delay my graduation?,Up to 29,2024-2025,BSME Mechanical Engineering
3,generic_1,Academic Planning & Course Selection,What's the recommended sequence for my remaining core ME courses?,90 to 119,2021-2022,"BSEE Electrical Engineering, Power and Energy Systems Concentration"
4,generic_1,Academic Planning & Course Selection,Should I take any courses over the summer to lighten my regular semester load?,Up to 29,2025-2026,BS Environmental Engineering
5,generic_1,Academic Planning & Course Selection,Which electives would best complement my career interests?,Up to 29,2025-2026,BSME Mechanical Engineering
6,generic_1,Academic Planning & Course Selection,Are there any particularly challenging course combinations I should avoid taking together?,None yet!,2025-2026,BS Dual Degree Physics and Mechanical Engineering
7,generic_1,Academic Planning & Course Selection,"What's the typical credit load for students in my year, and is my planned load reasonable?",30 to 59,2022-2023,"BSME Mechanical Engineering, Motorsports Engineering Concentration"
8,generic_1,Academic Planning & Course Selection,Are there any new courses being offered that might be relevant to my interests?,150 or more,2022-2023,"BSEE Electrical Engineering, Machine Learning Concentration"
9,generic_1,Graduation Timeline & Requirements,"Based on my current progress, what's my realistic earliest graduation date?",30 to 59,2025-2026,"BSEE Electrical Engineering, Machine Learning Concentration"
10,generic_1,Graduation Timeline & Requirements,Am I on track to meet all degree requirements by my target graduation date?,60 to 89,2022-2023,BSME Mechanical Engineering
11,generic_1,Graduation Timeline & Requirements,Are there any hidden requirements or often-overlooked graduation criteria I should know about?,90 to 119,2022-2023,"BSSE Systems Engineering, Energy Systems Concentration"
12,generic_1,Graduation Timeline & Requirements,What happens if I need to repeat a course - how would that affect my timeline?,60 to 89,2023-2024,BS Dual Degree Physics and Computer Engineering
13,generic_1,Graduation Timeline & Requirements,"Should I consider pursuing a minor, and how would that impact my graduation timeline?",30 to 59,2024-2025,BSCM Construction Management
14,generic_1,Graduation Timeline & Requirements,What's the process for degree audit and final graduation clearance?,30 to 59,2025-2026,"BSME Mechanical Engineering, Biomedical Engineering Concentration"
15,generic_1,Research & Professional Development,Are there undergraduate research opportunities available in areas I'm interested in?,30 to 59,2024-2025,BS Dual Degree Physics and Mechanical Engineering
16,generic_1,Research & Professional Development,How do I get involved in faculty research projects?,90 to 119,2021-2022,"BSSE Systems Engineering, Energy Systems Concentration"
17,generic_1,Research & Professional Development,Should I consider doing an independent study or honors thesis?,30 to 59,2024-2025,BSSE Systems Engineering
18,generic_1,Research & Professional Development,What opportunities exist for presenting research at conferences?,30 to 59,2024-2025,BS Dual Degree Physics and Electrical Engineering
19,generic_1,Research & Professional Development,Are there any engineering competitions or design teams I should join?,150 or more,2021-2022,BSCE Civil Engineering
20,generic_1,Research & Professional Development,How important is research experience for my career goals?,120 to 149,2021-2022,"BSEE Electrical Engineering, Machine Learning Concentration"
21,generic_1,Internships & Co-ops,"When should I start applying for internships, and what's the typical timeline?",120 to 149,2022-2023,"BSEE Electrical Engineering, Power and Energy Systems Concentration"
22,generic_1,Internships & Co-ops,Are there any companies that regularly recruit from our program?,150 or more,2021-2022,"BSME Mechanical Engineering, Energy Engineering Concentration"
23,generic_1,Internships & Co-ops,How do I balance internship opportunities with my academic schedule?,60 to 89,2023-2024,"BSCPE Computer Engineering, Machine Learning Concentration"
24,generic_1,Internships & Co-ops,"Should I consider co-op programs, and how would they affect my graduation date?",None yet!,2025-2026,BSCPE Computer Engineering
25,generic_1,Internships & Co-ops,What resources are available to help with resume writing and interview preparation?,30 to 59,2025-2026,BSCM Construction Management
26,generic_1,Academic Performance & Support,What study strategies work best for upper-level ME courses?,150 or more,2022-2023,BSME Mechanical Engineering
27,generic_1,Academic Performance & Support,Are there tutoring services or supplemental instruction programs available?,60 to 89,2023-2024,"BSCE Civil Engineering, Land Development Engineering Concentration"
28,generic_1,Academic Performance & Support,How can I best prepare for the FE exam?,60 to 89,2022-2023,"BSCE Civil Engineering, Energy Infrastructure Concentration"
29,generic_1,Academic Performance & Support,What should I do if I'm struggling in a particular course?,30 to 59,2023-2024,"BSME Mechanical Engineering, Energy Engineering Concentration"
30,generic_1,Academic Performance & Support,Are there any academic support programs specifically for engineering students?,120 to 149,2022-2023,BSCE Civil Engineering
31,generic_1,Mental Health & Well-being,What mental health resources are available on campus?,60 to 89,2024-2025,BSCE Civil Engineering
32,generic_1,Mental Health & Well-being,How do I access counseling services if I'm feeling overwhelmed?,90 to 119,2021-2022,"BSME Mechanical Engineering, Motorsports Engineering Concentration"
33,generic_1,Mental Health & Well-being,Are there support groups for engineering students dealing with academic stress?,Up to 29,2024-2025,BSME Mechanical Engineering
34,generic_1,Mental Health & Well-being,What's the process for getting academic accommodations if I need them?,120 to 149,2022-2023,"BSME Mechanical Engineering, Motorsports Engineering Concentration"
35,generic_1,Mental Health & Well-being,How do I maintain work-life balance while keeping up with demanding coursework?,150 or more,2022-2023,BS Dual Degree Physics and Computer Engineering
36,generic_1,Mental Health & Well-being,Are there stress management workshops or wellness programs available?,Up to 29,2024-2025,"BSCE Civil Engineering, Land Development Engineering Concentration"
37,generic_1,Financial Aid & Scholarships,Are there any scholarships specifically for mechanical engineering students?,150 or more,2021-2022,"BSSE Systems Engineering, Energy Systems Concentration"
38,generic_1,Financial Aid & Scholarships,What merit-based aid might I be eligible for given my GPA?,60 to 89,2024-2025,"BSME Mechanical Engineering, Biomedical Engineering Concentration"
39,generic_1,Financial Aid & Scholarships,Are there any work-study opportunities in the engineering department?,150 or more,2022-2023,BS Dual Degree Physics and Mechanical Engineering
40,generic_1,Financial Aid & Scholarships,How do I apply for departmental scholarships or awards?,150 or more,2021-2022,BSCE Civil Engineering
41,generic_1,Career Planning & Networking,What career paths are most common for graduates from our program?,None yet!,2025-2026,BS Dual Degree Physics and Mechanical Engineering
42,generic_1,Career Planning & Networking,Are there any professional organizations I should join as a student?,120 to 149,2022-2023,BSME Mechanical Engineering
43,generic_1,Career Planning & Networking,How do I connect with alumni working in my areas of interest?,Up to 29,2023-2024,BSCM Construction Management
44,generic_1,Career Planning & Networking,What career services are available specifically for engineering students?,90 to 119,2023-2024,"BSEE Electrical Engineering, Machine Learning Concentration"
45,generic_1,Career Planning & Networking,"Should I consider graduate school, and if so, when should I start preparing applications?",120 to 149,2021-2022,BS Dual Degree Physics and Mechanical Engineering
46,generic_1,Department & University Resources,What labs or facilities are available for student use?,120 to 149,2021-2022,"BSCPE Computer Engineering, Machine Learning Concentration"
47,generic_1,Department & University Resources,Are there any study abroad programs relevant to engineering students?,90 to 119,2022-2023,"BSCE Civil Engineering, Land Development Engineering Concentration"
48,generic_1,Department & University Resources,How do I get involved in departmental committees or student organizations?,90 to 119,2022-2023,BSEE Electrical Engineering
49,generic_1,Department & University Resources,What professional development workshops does the department offer?,30 to 59,2022-2023,"BSME Mechanical Engineering, Biomedical Engineering Concentration"
